cod_cli;razao;endereco;uf;Cidade;Bairro;CEP;Telefone;cnpj;Insc;cod_canal;hierarquia
2926187;Detoni & Detoni;Rua das Videiras 655;MT;Sorriso;Centro;78890-000;66 35440337;4366839000107;132048272;5534716;L6 BRNC BK CO Agil Trd e Dms
2927213;Unico Supermercado Ltda ME;Av Tancredo Neves 154;MT;Vale de Sao Domingos;Centro;78253-000;65 32681071;9508576000139;133542270;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2927218;Danubia Suellen da Silva;Rua Sao F Assis 1594, Vila Itama;MT;Rondonopolis;Centro;78700-090;66 34253654;9452291000123;133530000;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2928003;Justino Xavier Moreno;Av Rotary Internacional 1380;MT;Rondonopolis;Jardim Participacao;78705-000;66 34226707;7700037000171;133120554;5534716;L6 BRNC BK CO Agil Trd e Dms
2928146;Rosalina Souza da Silva ME;Rua Arnaldo E Figueiredo 2115;MT;Rondonopolis;Jardim Guanabara;78710-140;66 34268767;6537751000128;133059146;5534716;L6 BRNC BK CO Agil Trd e Dms
2928151;S S Sardinha;Rua Carlos Luz 154;MT;Araputanga;Centro;78260-000;65 32612377;9506586000135;133541380;5534710;L6 BRNC BK CO Agil Atc
2928353;Iracema M Gloria Sorveteria;Rua Inhare 775;MT;Guaranta do Norte;Centro;78520-000;66 35522585;4893181000183;132070600;5534716;L6 BRNC BK CO Agil Trd e Dms
2928454;M Ferrarini de Moraes & Cia Ltda ME;Av Amazonas 1639S;MT;Lucas do Rio Verde;Menino Deus;78455-000;66 35494994;4910207000154;132069849;5534716;L6 BRNC BK CO Agil Trd e Dms
2928468;Casa de Massas Rio Verde Ltda;Ria Chapeco 250E;MT;Lucas do Rio Verde;Centro;78455-000;66 35494402;4527593000108;132022184;5534716;L6 BRNC BK CO Agil Trd e Dms
2929170;Cauzeli Maria de Souza;Rua Alm Barroso 348;MT;Alto Paraguai;Centro;78410-000;65 33961622;8497438000139;133297314;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2929347;W Morao EPP;Rua Marcio Perim 1533;MT;Itauba;Cidades Alta;78510-000;66 96268236;10142168000195;133581730;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2929678;Mercearia Jauru Ltda;Av Padre Nazareno Lancioti 1110;MT;Jauru;Centro;78255-000;65 32442019;9193351000130;133469123;5534716;L6 BRNC BK CO Agil Trd e Dms
2929724;Heemann & Cia Ltda;Av do Brasil 2505;MT;Vera;Centro;78880-000;66 35832041;10209340000180;133587762;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2930817;Mercado Badu Ltda ME;R Joacaba 53;MT;Uniao Do Sul;Imperatriz;78543-000;66 35361265;10242060000174;133593347;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2930827;Sabadin Scariot & Cia Ltda ME;Rua Jose Donim 410;MT;Primavera do Leste;Castelandia;78850-000;66 34988799;9410736000102;133518809;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2931396;Poletto Supermercado Ltda;Rua Cascavel 1034;MT;Brasnorte;Centro;78350-000;66 35921127;10282905000155;133600548;5534707;L6 BRNC BK CO Agil AS 5
2931501;Supermercado Bianchi Primavera Ltda;Av Sao Joao 789;MT;Primavera Do Leste;Centro;78850-000;66 34982062;8140272000107;133216527;5534707;L6 BRNC BK CO Agil AS 5
2931613;A M Degraus Panif Pizzaria Ltda;Rua Almirante Batista Neves SN;MT;Diamantino;Centro;78400-000;65 33361193;681511000116;131629387;5534716;L6 BRNC BK CO Agil Trd e Dms
2931795;Mercado Ki Tem Ltda;Rua 43 299;MT;Cuiaba;Boa Esperanca;78068-401;65 36642775;1122542000108;133355217;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2931960;C Cesario Tibes & Cia Ltda;Rua Centro Sul 01, Quadra 03;MT;Juruena;Cidade Alta;78340-000;66 35531183;10204884000150;133587843;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2932249;Posto da Divisa Ltda;Av Carlos Hugueney 174;MT;Alto Araguaia;Centro;78780-000;66 34811725;26774091000106;131251333;5534708;L6 BRNC BK CO Agil Trd e Cnv
2932385;J G de Moraes Comercio;Av Primavera 250;MT;Cuiaba;Canjica;78050-301;65 36413600;8388150000126;133275264;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2932589;Farmacia PLCL Ltda EPP;Avenida Mato Grosso 272, S Sala 02;MT;Lucas do Rio Verde;Centro;78455-000;66 35492866;7629833000165;133102041;5534711;L6 BRNC BK CO Agil Far C
2932598;Volmar da Silva & Merlo Ltda;Av Sao Luis 551;MT;Caceres;Jardim Sao Luis;78200-000;65 32233957;9451137000137;133530329;5534716;L6 BRNC BK CO Agil Trd e Dms
2933330;Santogo Alimentos Ltda;Rua Ruth Ferreira Mazui 1014;MT;Pontes E Lacerda;Jardim Ipacarai;78250-000;65 32663007;9493027000219;133560198;5534707;L6 BRNC BK CO Agil AS 5
2933348;Torres Com P Alimenticios EIRELI ME;Rua Argentina 37, Quadra 09;MT;Varzea Grande;Jardim Imperial;78158-500;65 30263751;9639520000113;133574067;5534714;L6 BRNC BK CO Agil KA
2933681;Joseney Homochinski & Cia Ltda ME;Av Arlindo Nossol 66;MT;Nova Monte Verde;Centro;78593-000;66 35971152;9342685000129;133514340;5534716;L6 BRNC BK CO Agil Trd e Dms
2934738;Laercia Borges dos Santos E Cia;Av Principal SN;MT;Caceres;Caramujo;78200-000;65 32771203;10214967000120;133589129;5534716;L6 BRNC BK CO Agil Trd e Dms
2934939;K R L de Castro EPP;Av Iris Siqueira SN, Qd 1L12 13;MT;Varzea Grande;Jardim Uniao;78120-000;65 36912823;10217341000177;133588955;5534707;L6 BRNC BK CO Agil AS 5
2935036;Silvana Aparecida Rodrigues ME;Rua Rio Claro 818;MT;Sao Jose dos Quatro Marcos;Jardim Peruchi;78285-000;65 32513231;10259870000133;133601099;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2935530;Zimmer & Zimmer Ltda;Av Henrique Xavier Rodavalho 439;MT;Cotriguacu;Centro;78330-000;66 35551148;1831885000133;131749960;5534716;L6 BRNC BK CO Agil Trd e Dms
2936649;Paulo Ferreira Santos Mercearia;Av Roberto Briant 1684;MT;Sao Jose do Rio Claro;Planalto;78435-000;66 33862652;7420619000102;133040984;5534716;L6 BRNC BK CO Agil Trd e Dms
2937093;G de S Murada ME;Av Angelo Antonio D 783, S Qd03Lt01;MT;Lucas do Rio Verde;Jardim Imperial;78455-000;66 35495070;8291417000162;133250911;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2937108;Compre Bem Supermercado EIRELI;Av Padre Nazareno Lancioti 1045;MT;Jauru;Centro;78255-000;65 32441756;10243478000104;133593703;5534716;L6 BRNC BK CO Agil Trd e Dms
2937376;Carlos Dalmolim & Cia Ltda ME;Av Cel Arthur Borges 1046;MT;Rosario Oeste;Centro;78470-000;65 33562159;10366502000194;133617378;5534707;L6 BRNC BK CO Agil AS 5
2937725;Ferreira & Baldasse Ltda Me;Avenida Principal F 983, Qd03 Lt 29;MT;Alta Floresta;Jardim Panorama;78580-000;66 92071051;10272217000104;133598411;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2937726;Magno Aparecido Reato E Cia Ltda;Rua Dona Alvina 942;MT;Porto Dos Gauchos;Centro;78560-000;66 35261681;10198278000179;133586480;5534716;L6 BRNC BK CO Agil Trd e Dms
2937915;Mercado Bom Gosto Ltda EPP;Rua Julio D Campos 101;MT;Varzea Grande;Jardim Gloria L;78140-340;65 36844919;9320283000123;133495574;5534707;L6 BRNC BK CO Agil AS 5
2938872;Supermercado Teodoro Ltda;Rua Cedro Rosa SN, Quadra 18;MT;Diamantino;Novo Diamantino;78400-000;65 33341681;7854126000172;133158470;5534707;L6 BRNC BK CO Agil AS 5
2938937;E G Oliveira ME;Av Ludovico Riva Sn;MT;Apiacas;Centro;78595-000;66 35931899;7422160000178;133041883;5534708;L6 BRNC BK CO Agil Trd e Cnv
2939529;M E S Comercial de Alimento Ltda ME;R Fenelon Muller 96;MT;Cuiaba;Dom Aquino;78015-090;65 33211925;6157015000144;132530708;5534716;L6 BRNC BK CO Agil Trd e Dms
2941601;Luzia S Miyamoto & E Minoru Sassaki;Rua F 02 85;MT;Sinop;Setor Residencial Norte;78552-000;66 35310790;10331199000194;133610454;5534716;L6 BRNC BK CO Agil Trd e Dms
2942087;Schnorr & Cia Cunha Ltda;Rua Natalino Piovezan 641;MT;Jangada;Centro;78490-000;65 33441351;9382117000151;133511529;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2942495;E de Oliveira ME;Av Comend Luiz Meneghel 60;MT;Nova Bandeirantes;Centro;78565-000;66 35721307;9405103000106;133520242;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2942571;Iranildo Lacerda de Melo;Av Tropical 1368;MT;Barra do Bugres;Maracana;78390-000;65 99886285;9572877000121;133555771;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2944625;Clecio de Assis Dantas ME;Avenida Sebastiao Pereira SN;MT;Porto Alegre do Norte;Tapirape;78655-000;64 36383275;8402533000101;134610512;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2945794;Itaubas Auto Posto Ltda;Av das Itaubas 3203;MT;Sinop;Setor Comercial;78550-000;66 35311930;8946754000140;133559483;5534708;L6 BRNC BK CO Agil Trd e Cnv
2947896;Emanoel M Fernandes & Cia Ltda;R Presidente Tancredo Neves 5597;MT;Mirassol D Oeste;Chacara;78280-000;65 32412415;1021379000189;131665669;5534716;L6 BRNC BK CO Agil Trd e Dms
2948123;R A dos Santos Delforno;Rua Maria Rosa Lana 01, Quadra 46;MT;Araputanga;Cidade Alta;78260-000;65 32611071;10217320000151;133588971;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2948445;R R Ribeiro Rodrigues;Av Virgilio P Nascimento Sn;MT;Nova Monte Verde;Centro;78593-000;66 35971626;4610187000104;132032562;5534716;L6 BRNC BK CO Agil Trd e Dms
2948919;D Dobri M Teixeira EIRELI EPP;Rua Desemb J P F Mendes 1397;MT;Diamantino;Centro;78400-000;65 33361482;9268297000145;133484246;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2948920;Nilza Marques Barroso;Rua Manoel Loureiro 200;MT;Rosario Oeste;Centro;78470-000;65 33561672;1415977000132;131705636;5534716;L6 BRNC BK CO Agil Trd e Dms
2949513;Barateiro Supermercados EIRELI;Av Cuiaba SN, Quadra 03;MT;Querencia;Centro;78643-000;66 35291496;10400107000180;133624927;5534707;L6 BRNC BK CO Agil AS 5
2949794;V B de Oliveira Fidelis Donini;Avenida Victor Fide 2721, Anx Salao;MT;Matupa;Uniao;78525-000;66 35951029;9619158000119;133564460;5534716;L6 BRNC BK CO Agil Trd e Dms
2950892;Floresta Tour V Turismo EIRELI;Av Perimetral Oeste 2001;MT;Alta Floresta;Centro;78580-000;66 35212221;26568261000104;134720830;5534716;L6 BRNC BK CO Agil Trd e Dms
2950923;Wagner Transportes Ltda ME;R Paschoal Moreira Cabral 442;MT;Mirassol D Oeste;Alto da Boa Vista;78280-000;65 32413577;9283470000184;133498875;5534716;L6 BRNC BK CO Agil Trd e Dms
2952326;A B Dos Santos ME;Av Rodovia Mt170 13, Km 263;MT;Brasnorte;Centro;78350-000;66 35922257;9552582000193;134069056;5534716;L6 BRNC BK CO Agil Trd e Dms
2953064;Saron Carbo C & Carvalho Ltda;Av Dante Martins Oliveira 01;MT;Guaranta do Norte;Jardim Aeroporto;78520-000;66 35223044;10553391000125;133654451;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2953719;Mercado Tibres Ltda ME;Rua B1 182, Qd 132;MT;Varzea Grande;Jardim Paula II;78135-158;65 36946575;10630749000176;133670341;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2954381;Calixto da Silva & Cia Ltda EPP;Avenida Curimba 1320, Qd 66 Lt12;MT;Sapezal;Centro;78365-000;65 33832693;10680919000127;133681823;5534710;L6 BRNC BK CO Agil Atc
2954383;Supermercado Monte Real Ltda EPP;Av Mato Grosso 1249;MT;Varzea Grande;Mapim;78120-000;65 36946272;10642116000188;133678067;5534707;L6 BRNC BK CO Agil AS 5
2955283;Martins E Martins Ltda;R Das Primaveras 4982;MT;Sinop;Bairro Primaveras;78552-000;66 39051434;3790896000490;132170515;5534707;L6 BRNC BK CO Agil AS 5
2955421;A R Lima & Cia Ltda;Avenida Sao Paulo 1392;MT;Sao Jose dos Quatro Marcos;Centro;78285-000;65 32511299;2931741000111;131854054;5534707;L6 BRNC BK CO Agil AS 5
2955511;Coml Carlinda De Alimentos Ltda;Av Tancredo de Almeida Neves 100;MT;Carlinda;Centro;78587-000;66 35251129;1507091000119;131713876;5534707;L6 BRNC BK CO Agil AS 5
2955681;C Vale Coop Agroindustrial;Rodovia Mt 121 sn, Km 1;MT;Diamantino;Novo Diamantino;78400-000;65 33371255;77863223002150;130195952;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2956375;L M Santos Milhomem;Avenida Transamazonica 562;PA;Itaituba;Bela Vista;68180-230;91 5182741;83329359000134;151703132;5534707;L6 BRNC BK CO Agil AS 5
2966874;Superm & Confeccoes Silva Ltda ME;Av Padre E Schimith 135;MT;Diamantino;Novo Diamantino;78400-000;65 33371569;78427861000148;132803747;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2973876;Coqueiros S Querencia Ltda;Av Central SN, Qd 17 Lt 0;MT;Querencia;Centro Ii;78643-000;66 35292418;92971597000130;133432645;5534707;L6 BRNC BK CO Agil AS 5
2979869;A Alves de Souza Supermercado EPP;Av Pedro Pedrossian 31;MT;Salto do Ceu;Centro;78270-000;65 32331431;2995633000102;131862081;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2979876;Osmar T de Oliveira;Rua dos Tuiuius 276;MT;Caceres;Vila Mariana;78200-000;65 32233800;24759110000108;130562998;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2979880;Supremo Comercio Alimentos Ltda ME;Av Capao Grande 711;MT;Varzea Grande;Jardim Novo Horizonte;78120-000;65 36863055;97359459000118;131525980;5534707;L6 BRNC BK CO Agil AS 5
2979884;Comim & Cia Ltda;Avenida Brasil 158;MT;Juruena;Centro;78340-000;66 35531375;2977174000134;131857649;5534707;L6 BRNC BK CO Agil AS 5
2979886;Supermercado Prudente Ltda;Rua Alziro Z 458S;MT;Tangara Da Serra;Vila Alta;78300-000;65 33261666;615397000126;131622382;5534707;L6 BRNC BK CO Agil AS 5
2979887;Floresta Com Bebidas Alim Ltda Epp;Av Mato Grosso C Po 272, Caixa Post;MT;Juina;Centro;78320-000;66 35662509;1816715000180;131749773;5534710;L6 BRNC BK CO Agil Atc
2979895;Tereza Mahle;Av Marechal Castelo Branco 1007;MT;Rosario Oeste;Centro;78470-000;65 33561462;24714800000132;130483370;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2979896;Panificadora Doce Pao Ltda ME;Av Brasil 356, NE;MT;Campo Novo Do Parecis;Centro;78360-000;66 33821741;115339000133;131551639;5534716;L6 BRNC BK CO Agil Trd e Dms
2979899;Comercial de Alimentos J M Ltda;Av Espigao 04, Setor Iii;MT;Cuiaba;Tijucal;78088-020;65 36651652;1466831000116;131710028;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2979902;Gabi Supermercados Ltda EPP;Avenida Brasil 1661;MT;Vera;Centro;78880-000;65 35831525;275291000120;131577611;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2979903;Mercantil Alim N S Aparecida Ltda;Av Brasil 100;MT;Nova Canaa do Norte;Centro;78515-000;66 35511207;73491284000130;131488910;5534716;L6 BRNC BK CO Agil Trd e Dms
2979904;Cooperativa Mista Agrap De Juscimei;Av Pedro Celestino SN;MT;Dom Aquino;Centro;78830-000;65 34511244;3939469001070;130551970;5534707;L6 BRNC BK CO Agil AS 5
2979919;Mercado Alvorada Ltda;Av Palmeiras 37, Quadra 04;MT;Cuiaba;Jardim Imperial;78075-850;65 36631147;26575233000106;131240358;5534707;L6 BRNC BK CO Agil AS 5
2979920;Comercio De Alim Cristalino Ltda;Rua Do Araujo SN;MT;Alta Floresta;Centro;78580-000;66 35212279;4055373000110;131969943;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2979922;Jeferson Bueno de Souza;R Natal 23, NE;MT;Campo Novo do Parecis;Centro;78360-000;66 33822061;255546000193;131577069;5534707;L6 BRNC BK CO Agil AS 5
2979924;Sarmento E Cia Ltda;Av Tancredo Neves 1225, St Leste;MT;Colider;Centro;78500-000;65 35411577;2948518000187;131854950;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2979926;Supermercado Residencial Ltda;Rua 23 13, Qd 52;MT;Cuiaba;Resindencial Coxipo;78005-000;65 36652564;968779000133;131657933;5534707;L6 BRNC BK CO Agil AS 5
2979934;Rozelia Maria de Oliveira Sulva ME;Av dos Imigrantes 246;MT;Rio Branco;Centro;78275-000;65 32571243;1829905000131;131750453;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2979937;3 Irmaos C Prods Alimenticios Ltda;R Magnolia 01;MT;Varzea Grande;Primavera;78132-684;65 36865208;3953552000102;131956582;5534707;L6 BRNC BK CO Agil AS 5
2979939;Luiz Carlos Scandiani ME;Av dos Imigrantes 242;MT;Rio Branco;Centro;78275-000;65 32571383;1058831000187;131669109;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2979941;Gislaine Gusmao Sampaio ME;Av Prefeito Caio 436;MT;Arenapolis;Centro;78420-000;66 33431482;2608200000157;131822837;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2979942;A S M Machado & Cia Ltda ME;Avenida Rio Branco 901;MT;Barra Do Bugres;Maracana;78390-000;65 33611657;176407000174;136028578;5534707;L6 BRNC BK CO Agil AS 5
2979944;Luiz Alberto Berte & Cia Ltda;Av Tancredo Neves 2122;MT;Sorriso;Centro;78890-000;66 35444206;3825925000160;131943995;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2979945;G H Toledo ME;Rua dos Canarios 313;MT;Caceres;Cidade Alta;78200-000;65 32239335;2914350000199;131858840;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2979947;Edson Vieira Noia ME;Av Mato Grosso 887;MT;Denise;Centro;78380-000;65 33421182;97433262000181;131549022;5534716;L6 BRNC BK CO Agil Trd e Dms
2979954;Supermercado Irmaos Maldaner Ltda;Av Tancredo Neves 104;MT;Sorriso;Centro;78890-000;66 35441221;1020470000180;131664778;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2979955;Dist de Alim Rio Branco Ltda ME;Rua Poxoreu 391;MT;Cuiaba;Alvorada;78015-285;65 36213755;3362501000106;131900790;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2979957;Helio Yassuo Hamamura;Rua 1 346, Z1 001;MT;Matupa;Centro;78525-000;66 35951681;37427309000172;131374630;5534716;L6 BRNC BK CO Agil Trd e Dms
2979958;Com Gen Alimenticios V S Ltda ME;Rua 49 16, Quadra 20;MT;Cuiaba;Cpa Iii;78058-400;65 36463548;3006173000105;131864661;5534707;L6 BRNC BK CO Agil AS 5
2979963;Rosangela Rosa dos Santos;Av Mato Grosso SN;MT;Denise;Centro;78380-000;65 33421101;1804317000143;131749897;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2979965;Novo Tempo Com De Alimentos Ltda;Rua Das Acacias 315;MT;Comodoro;Centro;78310-000;65 32831490;70433693000191;131468405;5534707;L6 BRNC BK CO Agil AS 5
2979966;Ferreira E Sampaio Ltda;R das Acacias 661;MT;Comodoro;Centro;78310-000;66 32831375;36914059000132;131343408;5534716;L6 BRNC BK CO Agil Trd e Dms
2979967;Claudio Boffo;Rua 201 156;MT;Paranaita;Centro;78590-000;66 35631420;26766824000160;131252666;5534716;L6 BRNC BK CO Agil Trd e Dms
2979970;Supermercado Superbarra Ltda;Rua Santa Cruz 245;MT;Barra Do Bugres;Centro;78390-000;65 33612000;1296262000108;131695258;5534707;L6 BRNC BK CO Agil AS 5
2979971;Sacolao & Superm Popular Ltda;Rua Tapera 189, E;MT;Lucas do Rio Verde;Centro;78455-000;66 35491209;3172111000173;130447366;5534707;L6 BRNC BK CO Agil AS 5
2979973;Cooperativa Mista Agrop Juscimeira;Rua Doutor Castilho 645;MT;Juscimeira;Centro;78810-000;66 34121105;3939469001312;130468428;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2979985;Francisca Misael Aragao EIRELI ME;Rua Santa Clara Qd 13 11;MT;Varzea Grande;Parque do Lago;78120-770;65 36915819;2735453000191;131843834;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2979988;Aparecido Goncalves Da Silva;Av Coronel Juliao De SN, Qd 4 Lt 16;MT;Varzea Grande;Jardim Maringa II;78120-400;65 36913837;1016403000191;131666312;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2979993;Quatro Irmao Com de Alimentos Ltda;Av Brasil 1853S;MT;Tangara da Serra;Centro;78300-000;65 33261917;3982068000101;131965662;5534707;L6 BRNC BK CO Agil AS 5
2979998;Valeria Leopoldina Da Silva ME;Av Getulio Lino De Souza SN;MT;Nortelandia;Da Ponte;78430-000;65 33461236;1860222000147;131751662;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2980002;Coml William Prods Alimenticios EIR;Av Jacarandas 2410, A;MT;Sinop;Setor Industrial Sul;78557-448;66 99851394;1315636000195;131697021;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2980005;Ronan Bezerra de Castro;Rua Q Quadra 45 15, Quadra 45;MT;Varzea Grande;Cristo Rei;78120-000;65 36842172;3758376000158;131941070;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2980007;Vanda Barbosa ME;Rua Manoel D Sobrinho 276W;MT;Tangara da Serra;Centro;78300-000;65 33266781;3092029000139;131872150;5534716;L6 BRNC BK CO Agil Trd e Dms
2980008;W Prandini ME;Rua Sao Judas Tadeu 1388;MT;Mirassol D'Oeste;Jardim Sao Paulo;78280-000;65 32411772;917936000181;131653768;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2980010;Lima & Colarino Ltda;Av Sao Paulo 1031;MT;Sao Jose dos Quatro Marcos;Centro;78285-000;65 32511499;32935181000134;130712221;5534707;L6 BRNC BK CO Agil AS 5
2980011;Supermercado Alameda Ltda;Rua Alameda 02 30;MT;Cuiaba;Cpa Iii;78058-400;65 36461869;1975414000107;131769901;5534707;L6 BRNC BK CO Agil AS 5
2980012;Mercado Di Domenico Ltda EPP;Av Inacio Castelli 205;MT;Primavera do Leste;Castelandia;78850-000;65 34982775;36895779000106;131351559;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2980015;N A T Scacalossi EIRELI;Av Brasilia 1275;MT;Cuiaba;Jardim das Americas;78060-634;65 36189810;3860555000100;131966260;5534708;L6 BRNC BK CO Agil Trd e Cnv
2980018;Carol Supermercados EIRELI EPP;Rua Paineira 293;MT;Diamantino;Novo Diamantino;78400-000;65 33371480;36956993000117;131295993;5534707;L6 BRNC BK CO Agil AS 5
2980022;D Casado;Rua 43 Esquina Com R SN, Esquina Co;MT;Cuiaba;Boa Esperanca;78005-000;65 36641950;957858000149;131657674;5534716;L6 BRNC BK CO Agil Trd e Dms
2980024;Valdecir dos Santos;R Celso Rosa Lima 1353, Setor N;MT;Tangara da Serra;Jardim Santiago;78300-000;66 33265403;2699782000124;131846108;5534707;L6 BRNC BK CO Agil AS 5
2980025;Jorge L Caceres ME;Av Dos Imigrantes 299;MT;Rio Branco;Centro;78275-000;66 32571161;155562000104;131558510;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2980033;Coml Iomar De Alimentos Ltda;Rua 05 455, Quadra 59;MT;Cuiaba;Parque Cuiaba;78095-330;65 36670429;1436106000103;131707841;5534707;L6 BRNC BK CO Agil AS 5
2980243;Medeiros Campos & Campos Ltda EPP;Rua Projetada 11 SN, Qd 29 Lt10;MT;Cuiaba;Jardim Universitario;78075-540;65 36631150;2538763000116;131813064;5534707;L6 BRNC BK CO Agil AS 5
2980326;Gerson Assis & Cia Ltda;Rua Machado de Assis 139;MT;Colider;Centro;78500-000;65 35411847;26593905000106;131234951;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2980336;M A Teixeira Comercio EPP;RUA Vascelidi Joao Boff 250, W;MT;Comodoro;Cidade Verde;78310-000;65 32831740;3075897000100;131867776;5534716;L6 BRNC BK CO Agil Trd e Dms
2980339;Rosilei Dos Santos Carrera Eireli;Av Januario Santana do Carmo 572;MT;Porto Esperidiao;Parque Das Americas;78240-000;65 32251131;1938746000103;131764004;5534707;L6 BRNC BK CO Agil AS 5
2980347;E Porsch ME;Rua Capoeira Grande 874;MT;Canarana;Centro;78640-000;66 34781827;1515588000189;131715941;5534707;L6 BRNC BK CO Agil AS 5
2980356;Economia Com Ind de Alimentos Ltda;Av Rio Grande do Sul 46;MT;Canarana;Centro;78640-000;65 34781861;37453735000180;131398024;5534707;L6 BRNC BK CO Agil AS 5
2980395;Supermercado Catarinense Ltda;Rua 15 de Novembro 834;MT;Barra do Garcas;Centro;78600-000;65 34015738;37484854000109;131432060;5534707;L6 BRNC BK CO Agil AS 5
2980397;Douglas Sehn;R Severino Euflasino de Li 1123, NE;MT;Campo Novo do Parecis;Nossa Senhora Aparecida;78360-000;65 33822479;1581948000140;131722530;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2980445;Frandoloso e Schmitt Ltda EPP;Avenida Florianopolis 325;MT;Uniao do Sul;Centro;78543-000;66 35401160;2721137000160;131834550;5534707;L6 BRNC BK CO Agil AS 5
2980480;Superm Machado Com Prod Alim Ltda;Rua 01 615;MT;Agua Boa;Centro;78635-000;66 34681927;4084183000121;131969617;5534707;L6 BRNC BK CO Agil AS 5
2980487;Caetano & Cia Ltda;Av Ceara 269;MT;Nova Xavantina;Centro;78690-000;66 34381323;37461977000116;131434985;5534707;L6 BRNC BK CO Agil AS 5
2980572;Super Bom P Com Prods Alim Ltda EPP;Rua Parana SN;MT;Campinapolis;Centro;78630-000;66 34371202;3662768000119;131925717;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2980591;Conquista Comercio Alimentos Ltda;Av Siegfried Buss 680;MT;Sao Jose do Rio Claro;Centro;78435-000;66 33861443;3774344000146;131936590;5534707;L6 BRNC BK CO Agil AS 5
2980641;Helio Soares dos Santos ME;Av Tocantins 545;MT;Tapurah;Cristo Rei;78573-000;66 35471263;1256646000105;131692151;5534707;L6 BRNC BK CO Agil AS 5
2980692;Mercado Hiperpao EIRELI;Av Josefina Rocha Macedo 325;MT;Barra Do Bugres;Centro;78390-000;65 33611026;4001370000102;131961080;5534716;L6 BRNC BK CO Agil Trd e Dms
2980706;Marilene H Lenhardt Comercio ME;Rua Nossa Senhora Apar SN, Quadra 5;MT;Castanheira;Centro;78345-000;65 35811157;1479753000194;131712276;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2980717;Silvana M C Moya;Av Tamburelo 59;MT;Cotriguacu;Vila Nova;78330-000;66 35551236;2752559000101;131841343;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2980734;Rotta & Rotta Ltda;Av Antonio Andre Maggi 1029;MT;Sapezal;Centro;78365-000;65 33831638;4002642000180;131960474;5534707;L6 BRNC BK CO Agil AS 5
2980737;Coml Nova Aurora Ltda;Av Valdir Masutti 680;MT;Campos de Julio;Centro;78307-000;65 33871120;3942193000198;131959166;5534707;L6 BRNC BK CO Agil AS 5
2980740;Claudemircio Correia Fernandes;Rua Prof A F Silva 1052, Setor I;MT;Cuiaba;Cpa II;78055-508;65 36463371;2522335000103;131812122;5534707;L6 BRNC BK CO Agil AS 5
